fighter,rating,rd,volatility,last_fight,peak_rating
Brendan Allen,1687.59211199298,100.43559712490746,27722297.205327637,2024-10-05,1713.3702315537028
Alexandre Pantoja,1686.321607746478,149.68735729224636,34336498.084315106,2024-05-11,1686.321607746478
Sean Strickland,1686.3015730283055,112.46272590636596,0.01,2024-06-08,1692.451802750661
Anthony Johnson,1685.4602354586211,172.89023970475102,142456870.98831826,2017-04-08,1707.9762764399597
TJ Dillashaw,1684.067642372885,244.5745800369283,0.01,2022-10-22,1709.5762802880622
Vicente Luque,1683.3857105966385,86.01819954309296,17008467.591496754,2024-04-06,1740.625871372223
Michael Bisping,1682.4363188632476,47.5590155067313,1443230.1437886553,2017-11-25,1721.935172638834
Arman Tsarukyan,1681.8422683177819,179.43490859076627,254592907.3087228,2024-04-27,1681.8422683177819
Grant Dawson,1681.3797164357384,207.5702383126699,84988711.4856258,2024-10-19,1681.3797164357384
Sean O'Malley,1681.175122217781,195.7851018910915,0.01,2024-09-28,1702.7400662032778
Randy Brown,1678.722068964229,120.63025970911062,0.01,2024-06-08,1678.722068964229
Khamzat Chimaev,1677.7058659950108,262.0487536369894,643030068.8970984,2023-10-21,1677.7058659950108
Renato Moicano,1676.4312489775143,166.5182734501053,69093926.50110362,2024-10-05,1676.4312489775143
Gegard Mousasi,1675.3007373083828,133.1054270392247,0.01,2017-04-08,1675.3007373083828
Jon Fitch,1674.401644260003,121.64675011450755,43644521.44487191,2013-02-02,1711.3557426011032
Ilia Topuria,1674.060147627154,240.06719719207246,504521145.25803477,2024-02-17,1674.060147627154
Arnold Allen,1673.6647884517179,265.9534086896445,374819120.89313877,2024-08-03,1694.5401281891263
Demian Maia,1673.593921441044,37.017748460728164,502757.6036671901,2021-06-12,1746.4505368503228
Don Frye,1670.8447003603214,127.6852704625695,0.01,1996-12-07,1670.8447003603214
Jack Della Maddalena,1670.3640859233888,194.33621901009965,216556715.20114756,2024-03-09,1670.3640859233888
Matt Hughes,1669.7226937307069,86.05631547152605,11518575.957948301,2011-09-24,1737.2839024325112
Shavkat Rakhmonov,1669.019826067856,264.77302966614184,0.01,2023-12-16,1669.019826067856
Conor McGregor,1668.6641117222089,259.49010071251115,0.01,2021-07-10,1701.3075526875466
Zhang Weili,1668.3374095409317,208.15774791246002,162352115.92396393,2024-04-27,1668.3374095409317
Ian Machado Garry,1667.4438276175104,186.2033121655769,0.01,2024-07-13,1667.4438276175104
Benson Henderson,1667.127888477474,112.65386767204902,0.01,2015-11-28,1668.6029134713099
Derrick Lewis,1666.792636107135,35.25466251011841,175091.4891749663,2024-05-18,1731.0768867076245
Neil Magny,1666.2478957543003,30.0,220637.95962329453,2024-09-07,1710.6826108632106
Jan Blachowicz,1665.9342265700016,113.18272633132197,40818707.59425843,2023-07-29,1691.045331390046
Michel Pereira,1663.690510558951,190.74662558433397,53934955.033577025,2024-05-11,1663.690510558951
Cory Sandhagen,1663.3522234411091,157.46328263417047,0.01,2024-08-10,1687.5568510488408
Justin Gaethje,1662.9475022177871,186.17215799768542,80159874.36830345,2024-04-27,1677.9490498274138
Dan Hooker,1661.789418342972,94.89118034034728,0.01,2024-08-24,1661.789418342972
Henry Cejudo,1660.7370834857204,314.26365373082837,0.01,2024-02-17,1700.1935354320708
Lyoto Machida,1659.819391918739,99.72183397883164,0.01,2018-05-12,1685.851577338572
Francisco Trinaldo,1659.7052976125035,53.243319473057845,0.01,2022-10-01,1682.940096622087
Randy Couture,1659.1185823175895,135.0180002661493,0.01,2011-04-30,1684.2669943759633
Movsar Evloev,1657.7224230780055,270.5102449856411,0.01,2024-01-20,1657.7224230780055
Joaquin Buckley,1656.4626910801499,107.94786047694302,0.01,2024-10-12,1656.4626910801499
Mario Bautista,1656.3234323067247,209.6707100791219,247777584.15414202,2024-10-12,1656.3234323067247
Tatiana Suarez,1655.5450949016722,293.52900241074985,492057768.4029148,2023-08-05,1655.5450949016722
Derek Brunson,1655.4141378398826,110.18781766718678,34927112.31045624,2023-03-04,1705.8037357057926
Fabricio Werdum,1653.548962356834,270.50427479990753,0.01,2020-07-25,1678.7975293619081
John Lineker,1653.4497524239619,129.55254825088352,0.01,2019-04-27,1679.2874048419462
Dong Hyun Kim,1651.987883644304,156.77775489285884,113248835.58864269,2017-06-17,1675.588805487822
Rose Namajunas,1650.6369798003143,221.79196279256306,0.01,2024-07-20,1658.5290588789076
Gilbert Burns,1650.1487967391377,86.11930320554198,11999086.21177043,2024-09-14,1715.841230679483
Song Yadong,1649.9334906414215,168.3408540253607,149000666.2916047,2024-03-09,1673.9858931023925
Jailton Almeida,1649.6906684658645,174.5370647460477,0.01,2024-06-08,1649.6906684658645
Manon Fiorot,1649.5837752999234,231.63650283695284,286918899.1591142,2024-04-06,1649.5837752999234
Sean Brady,1649.5231033940745,282.59951618267365,0.01,2024-09-14,1649.5231033940745
Marlon Vera,1647.745973363454,62.961789761180945,0.01,2024-08-10,1692.161854113869
Caio Borralho,1646.8304900631254,201.6223927493876,188938170.72481522,2024-09-07,1646.8304900631254
Jose Aldo,1646.744359146047,186.80553070537593,0.01,2024-10-12,1677.9115260067392
Yair Rodriguez,1646.59471185171,260.93458133566725,0.01,2024-02-24,1685.4063469699568
Josh Emmett,1645.9284728464954,209.99201181559724,0.01,2023-12-16,1662.3391306634517
