fighter,peak_rating
Cat Zingano,1551.3580648961492
David Branch,1551.2608295652549
Nursulton Ruziboev,1551.2045922100876
Luana Carolina,1551.1180637041502
Christian Leroy Duncan,1551.0522612304874
Ottman Azaitar,1550.9805484329336
Ian Heinisch,1550.9015359437194
Tony Gravely,1550.8902831659684
Yana Santos,1550.8779126526329
Hyun Gyu Lim,1550.841985198769
Brandon Thatch,1550.7699860292516
Tatsuya Kawajiri,1550.7053435136718
Brady Hiestand,1550.7025201236743
Myktybek Orolbai,1550.619093306988
Daniel Omielanczuk,1550.3831175505363
Esteban Ribovics,1550.3592688103101
Ion Cutelaba,1550.0571906974144
Lavar Johnson,1550.050959167007
Batgerel Danaa,1550.0499317659287
Daniel Pineda,1550.0
Gary Goodridge,1550.0
Johnny Bedford,1550.0
Kevin Jackson,1550.0
Jess Liaudin,1550.0
Devonte Smith,1549.9862470210044
Punahele Soriano,1549.9258136567462
Henrique da Silva,1549.9234756963529
Julian Marquez,1549.8400002159733
Phil Baroni,1549.7650138111705
Andrew Craig,1549.6939370462694
Kevin Randleman,1549.6680948655833
Brock Larson,1549.5851313062515
Vinicius Oliveira,1549.444354529297
Jennifer Maia,1549.4411267760472
Ariane da Silva,1549.343247203326
Nazim Sadykhov,1549.1986937367105
Francisco Rivera,1549.1179402441433
Melissa Gatto,1548.8367241361984
Sean Pierson,1548.7681901461606
Duane Ludwig,1548.7416858140743
Joe Proctor,1548.7329402901157
Chidi Njokuani,1548.7317598395114
Jason Saggo,1548.6874212583866
Mac Danzig,1548.6414205061471
Fredy Serrano,1548.6254445317925
