Fighter,Elo Rating
Garrett Armfield,1000.72
Lavar Johnson,1000.48
John Gunther,1000.48
Tsuyoshi Kohsaka,1000.41
Jarred Brooks,1000.29
Wesley Correira,1000.28
Shamil Gamzatov,1000.26
Cesar Almeida,1000.25
Semmy Schilt,1000.18
Jack Nilson,1000.07
Brad Kohler,1000.07
Sai Wang,1000.07
Irina Alekseeva,1000.07
Ben Askren,1000.02
Kevin Jackson,1000.01
Patrick Walsh,1000.01
Shauna Bannon,1000.01
Orlando Wiet,1000.0
Todd Medina,1000.0
Steven Graham,1000.0
Alfonso Alcarez,1000.0
CJ Fernandes,1000.0
Mark Robinson,1000.0
Ron Faircloth,1000.0
Anthony Torres,1000.0
Roman Mitichyan,1000.0
Nate Loughran,1000.0
Mackens Semerzier,1000.0
Ken Stone,1000.0
Pedro Nobre,1000.0
Robert Drysdale,1000.0
DeAnna Bennett,1000.0
Antonina Shevchenko,1000.0
Chad Anheliger,1000.0
Hamdy Abdelwahab,1000.0
Joe Slick,999.99
Jake Hadley,999.97
David Branch,999.94
Kyle Watson,999.94
Katsuhisa Fujii,999.93
Michal Oleksiejczuk,999.9
Jarjis Danho,999.88
Keith Rockel,999.81
Montserrat Rendon,999.81
Jason DeLucia,999.8
Igor Araujo,999.72
Mark Godbeer,999.68
Robelis Despaigne,999.67
James Wilks,999.66
Levan Makashvili,999.65
Alexander Hernandez,999.65
Danny Henry,999.63
Tomasz Drwal,999.45
Kaue Fernandes,999.42
Dan Bobish,999.4
Viviane Pereira,999.38
Evan Elder,999.33
Paul Varelans,999.31
Chris Clements,999.26
Sam Adkins,999.18
Sirwan Kakai,999.16
Roy Nelson,999.1
Mike Nickels,999.07
Akira Corassani,999.06
Troy Mandaloniz,999.04
Tony Fryklund,999.03
Mike Ciesnolevicz,998.98
Bartosz Fabinski,998.98
Nad Narimani,998.97
Nick Maximov,998.97
Loik Radzhabov,998.96
Andrei Semenov,998.95
Scott Morris,998.92
Nick Denis,998.92
Billy Ray Goff,998.92
Kevin Ferguson,998.89
Daniel Barez,998.89
Scott Bessac,998.87
Roberto Traven,998.85
Dave Strasser,998.85
Antonio Rodrigo Nogueira,998.85
War Machine,998.85
Anying Wang,998.85
Joe Ellenberger,998.85
Talita Alencar,998.85
Nah-Shon Burrell,998.83
Ange Loosa,998.73
Rony Jason,998.69
Nick Ring,998.68
Paul Jones,998.66
Tony Gravely,998.66
Josh Thomson,998.49
Cheyanne Vlismas,998.47
Natan Levy,998.44
Francis Marshall,998.44
Rory Singer,998.33
Sam Hughes,998.32
Leah Letson,998.29
Jimy Hettes,998.23
Impa Kasanganay,998.19
Danny Castillo,998.18
Naoki Inoue,998.02
Maheshate,997.99
CJ Vergara,997.98
Jesse Taylor,997.95
Joe Duffy,997.94
Eduarda Moura,997.85
Pingyuan Liu,997.78
