Fighter,Peak Elo
Chris Holdsworth,1039.88
Omar Morales,1039.88
Brock Larson,1039.87
Chris Duncan,1039.8
Phil Baroni,1039.76
Jessica-Rose Clark,1039.74
Zach Makovsky,1039.7
Brunno Ferreira,1039.67
Jean Matsumoto,1039.66
Punahele Soriano,1039.63
Arjan Bhullar,1039.59
Jordan Leavitt,1039.58
Hatsu Hioki,1039.41
Jason Saggo,1039.15
Tyson Pedro,1039.05
Jason Brilz,1038.96
Joe Proctor,1038.96
Carlos Felipe,1038.96
Mac Danzig,1038.93
Hugo Viana,1038.92
Nicholas Musoke,1038.92
Daniel Zellhuber,1038.92
Fredy Serrano,1038.91
Poliana Botelho,1038.91
Nick Ring,1038.89
Lavar Johnson,1038.89
Kenichi Yamamoto,1038.88
Charlie Campbell,1038.88
Jason DeLucia,1038.85
Johnny Rhodes,1038.85
Keith Hackney,1038.85
Joel Sutton,1038.85
Steve Nelmark,1038.85
Mike van Arsdale,1038.85
Tony DeSouza,1038.85
David Heath,1038.85
Rich Attonito,1038.85
Pablo Garza,1038.85
Royston Wee,1038.85
Zhang Lipeng,1038.85
Chris Beal,1038.85
Danny Henry,1038.85
Nad Narimani,1038.85
Don Madge,1038.85
Melsik Baghdasaryan,1038.85
Josefine Knutsson,1038.85
Zhang Mingyang,1038.85
Ronnie Lawrence,1038.75
Melissa Gatto,1038.74
Danny Barlow,1038.74
Jesus Aguilar,1038.73
Brad Katona,1038.68
Francisco Rivera,1038.57
JeongYeong Lee,1038.53
Ariane da Silva,1038.38
Jack Jenkins,1038.27
Chidi Njokuani,1038.16
Dylan Andrews,1038.06
Tainara Lisboa,1038.05
Lorenz Larkin,1038.02
Ildemar Alcantara,1038.0
Shane Nelson,1037.95
Hyder Amil,1037.93
Dave Menne,1037.89
Clayton Carpenter,1037.89
Rob Emerson,1037.86
Trevor Prangley,1037.84
Eddie Sanchez,1037.83
Rogerio Bontorin,1037.83
Pingyuan Liu,1037.81
Rodrigo Damm,1037.8
Eugene Jackson,1037.77
Darren Uyenoyama,1037.77
Rory Singer,1037.71
Julio Arce,1037.71
Mark Hall,1037.7
Alex Hunter,1037.7
Justine Kish,1037.7
Chris Padilla,1037.67
Tanner Boser,1037.66
Scott Jorgensen,1037.65
Oskar Piechota,1037.65
Joey Beltran,1037.64
Desmond Green,1037.48
Cory McKenna,1037.47
Francimar Barroso,1037.23
Piera Rodriguez,1037.17
Mauricio Ruffy,1037.17
Adam Wieczorek,1037.09
Sijara Eubanks,1036.99
Bea Malecki,1036.94
Livinha Souza,1036.87
Viscardi Andrade,1036.85
Charles Radtke,1036.82
Juan Espino,1036.64
Jimy Hettes,1036.55
HyunSung Park,1036.52
Yazmin Jauregui,1036.47
Sam Stout,1036.4
Parker Porter,1036.24
Justin Scoggins,1035.95
Ibo Aslan,1035.95
Christian Leroy Duncan,1035.75
Aleksandra Albu,1035.72
Julia Avila,1035.69
Paddy Holohan,1035.66
Sumudaerji,1035.57
Davey Grant,1035.53
Batgerel Danaa,1035.46
Ronaldo Rodriguez,1035.38
Joselyne Edwards,1035.05
Danilo Marques,1034.9
Shayilan Nuerdanbieke,1034.19
Cyrille Diabate,1034.08
Hacran Dias,1033.89
Julian Marquez,1033.56
Josh Culibao,1033.5
Blagoy Ivanov,1033.24
Kenny Robertson,1033.19
Viktoriia Dudakova,1032.48
Jamie Varner,1031.93
Ion Cutelaba,1031.72
Antonio Silva,1031.69
Darren Stewart,1031.61
Abus Magomedov,1031.4
Damir Hadzovic,1031.19
Tarec Saffiedine,1030.69
Rafa Garcia,1030.54
Igor Pokrajac,1030.06
KJ Noons,1029.71
Jamie Mullarkey,1029.66
Trevor Smith,1029.4
Lyman Good,1029.38
David Terrell,1029.18
Teruto Ishihara,1028.93
Ricky Glenn,1028.7
Joe Riggs,1028.69
Raulian Paiva,1028.38
Michael Chandler,1028.32
Christos Giagos,1028.17
Ismail Naurdiev,1028.14
Ben Askren,1027.92
Godofredo Pepey,1027.89
Matthew Lopez,1027.81
Fabio Maldonado,1027.73
Maximo Blanco,1027.34
Caol Uno,1027.3
Fabiano Iha,1027.29
Liz Carmouche,1027.19
Frank Trigg,1026.92
Carlos Newton,1026.76
Zak Ottow,1026.72
Ismael Bonfim,1026.5
Walt Harris,1026.26
Mirko Filipovic,1026.13
James Head,1025.94
Shamil Gaziev,1025.86
Jacob Malkoun,1025.84
Angela Hill,1025.63
Cung Le,1025.36
Chance Rencountre,1025.27
Sergey Khandozhko,1025.22
Falaniko Vitale,1025.17
Michael Page,1025.17
Brad Pickett,1024.89
Diego Nunes,1024.81
Dwight Grant,1024.78
Andre Fialho,1024.74
Mounir Lazzez,1024.67
Drew Fickett,1024.36
Nikolas Motta,1024.36
Sheymon Moraes,1024.27
Leandro Silva,1024.19
Lina Lansberg,1024.19
Yoshiyuki Yoshida,1024.17
Bogdan Guskov,1024.16
James Irvin,1024.13
SeungWoo Choi,1024.11
Sam Sicilia,1024.1
Brian Johnston,1023.98
Gan McGee,1023.95
Roan Carneiro,1023.84
Will Brooks,1023.84
Darrick Minner,1023.82
Eric Spicely,1023.77
Jafel Filho,1023.75
Takanori Gomi,1023.74
Tamdan McCrory,1023.72
Ryan Jimmo,1023.59
Felipe Lima,1023.52
